,web-scraper-order,brand,name_details_raw,ps,km,reg_year,price,gear_type,ps_cat,fuel_type_benzin,fuel_type_diesel,fuel_type_elektro,address,lat,lon
1,1704381746-3,VW,Golf 2.0 TSI GTI Performance DSG,245.0,196000.0,2017.0,17900,Automat,0 - 249,1,0,0,"Bernstrasse 137, 3400 Burgdorf",47.05232238769531,7.6118483543396
4,1704381753-6,HONDA,Stream 2.0i ES (Sport),155.0,172000.0,2004.0,2200,Automat,0 - 249,1,0,0,"Chemin Grenet 4a, 1214 Vernier",46.21772766113281,6.071710586547852
5,1704381755-7,FIAT,500C 0.9 Twinair Turbo Lounge,105.0,70500.0,2016.0,7500,Manuell,0 - 249,1,0,0,"Gummertliweg 8, 4702 Oensingen",47.29175567626953,7.734115123748779
6,1704381758-8,NISSAN,Qashqai +2 2.0 dCi 4WD tekna Automatic,150.0,299780.0,2009.0,4999,Automat,0 - 249,0,1,0,"Bodackerstrasse 14, 8953 Dietikon",47.412235260009766,8.38632869720459
7,1704381760-9,SMART,fortwo passion,71.0,66000.0,2017.0,10900,Automat,0 - 249,1,0,0,"Schichtstrasse 1, 4528 Zuchwil",47.21026992797852,7.557407855987549
8,1704381763-10,BMW,X3 xDrive 35i Steptronic,306.0,208000.0,2011.0,8800,Automat,250 - 599,1,0,0,"Bruggmatte 11, 6260 Reiden",47.23873519897461,7.963281154632568
9,1704381769-11,FORD,EcoSport 1.0 SCTi Titanium,125.0,142000.0,2014.0,5200,Manuell,0 - 249,1,0,0,"Bruggmatte 11, 6260 Reiden",47.23873519897461,7.963281154632568
11,1704381774-13,PEUGEOT,308 1.2 THP Allure,131.0,122000.0,2014.0,5500,Manuell,0 - 249,1,0,0,"au tombex 43, 3280 Murten",46.91608810424805,7.107640266418457
13,1704381779-15,VW,Golf 1.2 TSI Allstar DSG,110.0,117900.0,2016.0,16300,Automat,0 - 249,1,0,0,"Luzernerstrasse 28, 6042 Dietwil",47.151004791259766,8.394994735717773
14,1704381781-16,AUDI,RS4 Avant 4.2 FSI V8 quattro S-tronic,450.0,93000.0,2013.0,20500,Automat,250 - 599,1,0,0,"Bernstrasse 26a, 6152 Hüswil",47.12789916992188,7.9063615798950195
15,1704381784-17,SKODA,Octavia 1.9 TDI Ambiente 4x4,101.0,401000.0,2002.0,1600,Manuell,0 - 249,0,1,0,"Choindez 5, 2830 Courrendlin",47.31721115112305,7.381652355194092
16,1704381786-18,FORD,Focus 2.0 TDCi Titanium PowerShift,163.0,289000.0,2011.0,2000,Automat,0 - 249,0,1,0,"industriestrasse 100, 3178 Bösingen",46.90134048461914,7.224895000457764
17,1704381789-19,VW,Golf 1.8 Trend 4Motion,125.0,181000.0,1999.0,800,Manuell,0 - 249,1,0,0,"industriestrasse 100, 3178 Bösingen",46.90134048461914,7.224895000457764
18,1704381791-20,FORD,Fiesta 1.25 16V Colourline,82.0,281000.0,2011.0,2500,Manuell,0 - 249,1,0,0,"Bruggmatte 11, 6260 Reiden",47.23873519897461,7.963281154632568
19,1704381797-21,MERCEDES-BENZ,AMG E 53 T 4Matic+ Speedshift 9G-TCT,435.0,17500.0,2022.0,94500,Automat,250 - 599,1,0,0,"Teslastrasse 3, 9015 St. Gallen",47.41003036499024,9.314270973205566
20,1704381799-22,MERCEDES-BENZ,B 250 Urban,180.0,35000.0,2016.0,19500,Automat,0 - 249,0,0,1,"Nettenbergweg 29, 4146 Hochwald",47.44786834716797,7.645279884338379
24,1704381810-26,MERCEDES-BENZ,SLK-Klasse R170 Cabriolet SLK,193.0,135500.0,2002.0,8500,Automat,0 - 249,1,0,0,"Hauptstrasse 7, 4416 Bubendorf",47.45639419555664,7.740914821624756
26,1704381815-28,VW,T5 2.0 TDI 4Motion,140.0,202000.0,2014.0,13700,Manuell,0 - 249,0,1,0,"4, chemin des Mésanges, 1032 Romanel-sur-Lausanne",46.568885803222656,6.6036763191223145
27,1704381818-29,HYUNDAI,i30 Fastback N 2.0 T-GDi,275.0,92000.0,2019.0,22998,Manuell,250 - 599,1,0,0,"Eggiwilstrasse 2a, 3535 Schüpbach BE",46.92686080932617,7.734965324401855
30,1704381837-35,MITSUBISHI,Space Star 1.2 CVT Intense+,71.0,1000.0,2023.0,19900,Automat,0 - 249,1,0,0,"Bahnhofstrasse 175, 9244 Niederuzwil",47.44595336914063,9.149778366088867
35,1704381850-40,NISSAN,Leaf Tekna(incl.battery),150.0,51000.0,2018.0,15900,Automat,0 - 249,0,0,1,"Zugerstrasse 47, 6340 Baar",47.18706893920898,8.521618843078613
38,1704381863-44,AUDI,Q3 40 TDI S line quattro S-tronic,200.0,611.0,2022.0,49550,Automat,0 - 249,0,1,0,"Grabenhofstrasse 10, 6010 Kriens",47.02386093139648,8.296092987060547
39,1704381865-45,SKODA,Octavia Combi 2.0 TSI Style DSG 4x4,190.0,5600.0,2023.0,42990,Automat,0 - 249,1,0,0,"Zürcherstrasse 242, 8406 Winterthur",47.48533248901367,8.701879501342773
41,1704381870-47,AUDI,A4 Avant 2.0 TFSI Sport S-tronic,190.0,69100.0,2018.0,26999,Automat,0 - 249,1,0,0,"Zugerstrasse 2, 6340 Sihlbrugg",47.21701431274414,8.576250076293945
42,1704381873-48,VW,e-Up,82.0,68500.0,2021.0,16999,Automat,0 - 249,0,0,1,"Zugerstrasse 2, 6340 Sihlbrugg",47.21701431274414,8.576250076293945
47,1704381894-55,OPEL,Mokka X 1.4i 16V Turbo 120 Years Edition 2WD,140.0,39805.0,2019.0,17250,Automat,0 - 249,1,0,0,"Hauptstrasse 39, 5502 Hunzenschwil",47.38707733154297,8.117234230041504
